"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Aug 18 18:23:14 UTC 2026","Tue Aug 18 18:23:22 UTC 2026","7824","","UI Automation Suite","","","","should login successfully with valid credentials",""
"broken","Tue Aug 18 18:22:55 UTC 2026","Tue Aug 18 18:23:03 UTC 2026","8530","","UI Automation Suite","","","","should check cart for empty",""
"broken","Tue Aug 18 18:23:05 UTC 2026","Tue Aug 18 18:23:12 UTC 2026","7490","","UI Automation Suite","","","","should search the product",""
