"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 16 09:23:08 UTC 2025","Tue Dec 16 09:23:10 UTC 2025","1282","API Automation Suite","Book API Tests","com.skamirullah.tests.AddBookTest","com.skamirullah.tests.AddBookTest","addBookTest","addBookTest",""
"failed","Tue Dec 16 09:22:59 UTC 2025","Tue Dec 16 09:23:04 UTC 2025","5173","","UI Automation Suite","","","","Valid Login",""
